"","basisOfRecord","scientificName","family","genus","decimalLongitude","decimalLatitude","stateProvince","year","month","country","catalogNumber","institutionCode","county","locality","lat","lon"
"11","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.84268,33.663727,"California",2021,1,"United States of America","OBS1041109125","CLO","Orange","IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine",33.663727,-117.84268
"12","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-124.09461,40.85736,"California",2021,1,"United States of America","OBS1041112227","CLO","Humboldt","Arcata Marsh and Wildlife Sanctuary",40.85736,-124.09461
"13","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.8418,35.344524,"California",2021,1,"United States of America","OBS1041116050","CLO","San Luis Obispo","Morro Bay SP--Marina/Boardwalk Trail",35.344524,-120.8418
"14","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-116.91708,32.85833,"California",2021,1,"United States of America","OBS1041131666","CLO","San Diego","Lindo Lake",32.85833,-116.91708
"15","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-115.49034,33.162773,"California",2021,1,"United States of America","OBS1041138381","CLO","Imperial","Calipatria State Prison--pond",33.162773,-115.49034
"16","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.1041,33.88545,"California",2021,1,"United States of America","OBS1041145113","CLO","Riverside","San Jacinto Wildlife Area",33.88545,-117.1041
"17","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.314766,37.890327,"California",2021,1,"United States of America","OBS1041145224","CLO","Alameda","McLaughlin Eastshore SP--Albany access",37.890327,-122.314766
"18","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.045395,33.707493,"California",2021,1,"United States of America","OBS1041166387","CLO","Orange","Bolsa Chica--Brightwater area",33.707493,-118.045395
"19","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.840965,33.661674,"California",2021,1,"United States of America","OBS1041176437","CLO","Orange","San Joaquin WS - Pond E",33.661674,-117.840965
"20","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.44142,38.266563,"California",2021,1,"United States of America","OBS1041179481","CLO","Sacramento","Cosumnes River Preserve, Elk Grove US-CA 38.26656, -121.44142",38.266563,-121.44142
"21","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.29786,34.157684,"California",2021,1,"United States of America","OBS1041185465","CLO","Los Angeles","Bette Davis Picnic Area",34.157684,-118.29786
"22","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.38925,34.008095,"California",2021,1,"United States of America","OBS1041187765","CLO","Los Angeles","Raintree (restricted access)",34.008095,-118.38925
"23","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.83425,33.920547,"California",2021,1,"United States of America","OBS1041188671","CLO","Orange","Carbon Canyon Regional Park",33.920547,-117.83425
"24","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.17191,39.405434,"California",2021,1,"United States of America","OBS1041197983","CLO","Glenn","Sacramento NWR",39.405434,-122.17191
"25","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.6823,34.033386,"California",2021,1,"United States of America","OBS1041198835","CLO","Los Angeles","Malibu Lagoon",34.033386,-118.6823
"26","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.94209,33.680283,"California",2021,1,"United States of America","OBS1041223578","CLO","Orange","Santa Ana River--Adams Ave. to Gisler Ave.",33.680283,-117.94209
"27","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.84043,33.66123,"California",2021,1,"United States of America","OBS1041229708","CLO","Orange","San Joaquin Wildlife Sanctuary",33.66123,-117.84043
"28","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.24625,37.75422,"California",2021,1,"United States of America","OBS1041230551","CLO","Alameda","339 Broadway, Alameda US-CA 37.75422, -122.24625",37.75422,-122.24625
"29","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.06011,34.03189,"California",2021,1,"United States of America","OBS1041233097","CLO","Los Angeles","Legg Lake",34.03189,-118.06011
"30","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.31035,37.888977,"California",2021,1,"United States of America","OBS1041235739","CLO","Alameda","McLaughlin Eastshore State Park, Albany US-CA 37.88898, -122.31035",37.888977,-122.31035
"31","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.51554,37.93353,"California",2021,1,"United States of America","OBS1041238478","CLO","Marin","Shorebird Marsh overlook",37.93353,-122.51554
"32","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.47562,34.169453,"California",2021,1,"United States of America","OBS1041238911","CLO","Los Angeles","Los Angeles River--Sepulveda Basin",34.169453,-118.47562
"33","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.620804,38.55179,"California",2021,1,"United States of America","OBS1041247188","CLO","Yolo","Yolo Bypass Wildlife Area",38.55179,-121.620804
"34","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.08245,33.981018,"California",2021,1,"United States of America","OBS1041252712","CLO","Los Angeles","San Gabriel Coastal Basin Spreading Grounds",33.981018,-118.08245
"35","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.62663,38.548367,"California",2021,1,"United States of America","OBS1041253675","CLO","Yolo","Yolo Bypass Wildlife Area--Auto Tour Route",38.548367,-121.62663
"36","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.24738,37.752598,"California",2021,1,"United States of America","OBS1041256830","CLO","Alameda","Elsie Roemer Bird Sanctuary",37.752598,-122.24738
"37","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.10559,37.451065,"California",2021,1,"United States of America","OBS1041261050","CLO","Santa Clara","Byxbee Park",37.451065,-122.10559
"38","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.08639,37.551178,"California",2021,1,"United States of America","OBS1041264272","CLO","Alameda","Coyote Hills Regional Park--Quarry Staging Area",37.551178,-122.08639
"39","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.222855,32.938435,"California",2021,1,"United States of America","OBS1041271371","CLO","San Diego","Shaw Valley",32.938435,-117.222855
"40","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.10234,37.43515,"California",2021,1,"United States of America","OBS1041277732","CLO","Santa Clara","Adobe Creek--north of US-101",37.43515,-122.10234
"41","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.7867,36.816772,"California",2021,1,"United States of America","OBS1041278584","CLO","Monterey","Jetty Rd, Moss Landing US-CA 36.81677, -121.78670",36.816772,-121.7867
"42","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.44374,38.157692,"California",2021,1,"United States of America","OBS1041280295","CLO","San Joaquin","Woodbridge Ecological Reserve (Isenberg Crane Reserve)",38.157692,-121.44374
"43","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.74247,36.840477,"California",2021,1,"United States of America","OBS1041287587","CLO","Monterey","Elkhorn Slough--Estrada & North marsh and/or Kirby Park",36.840477,-121.74247
"44","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.419716,38.284294,"California",2021,1,"United States of America","OBS1041288426","CLO","Sacramento","Bruceville Rd.--Twin Cities Rd. to Desmond Rd.",38.284294,-121.419716
"45","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.27245,33.003563,"California",2021,1,"United States of America","OBS1041292575","CLO","San Diego","San Elijo Lagoon--Rios Ave. entrance",33.003563,-117.27245
"46","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.83614,39.32288,"California",2021,1,"United States of America","OBS1041292640","CLO","Butte","Gray Lodge Wildlife Area",39.32288,-121.83614
"47","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.22184,32.759228,"California",2021,1,"United States of America","OBS1041299642","CLO","San Diego","San Diego River--estuary (Old Sea World Dr.)",32.759228,-117.22184
"48","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.753265,33.796837,"California",2021,1,"United States of America","OBS1041302192","CLO","Orange","Irvine Regional Park",33.796837,-117.753265
"49","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.25007,37.521053,"California",2021,1,"United States of America","OBS1041302412","CLO","San Mateo","Nob Hill Pond",37.521053,-122.25007
"50","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.14158,37.498726,"California",2021,1,"United States of America","OBS1041308445","CLO","San Mateo","Don Edwards NWR--Ravenswood Salt Ponds R1/R2",37.498726,-122.14158
"51","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.30715,38.8826,"California",2021,1,"United States of America","OBS1041336724","CLO","Placer","Auburn Ravine--Moore Rd. trails",38.8826,-121.30715
"52","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-115.5204,33.211884,"California",2021,1,"United States of America","OBS1041337875","CLO","Imperial","Imperial Irrigation District Wetland Project--Niland",33.211884,-115.5204
"53","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.578545,41.91894,"California",2021,1,"United States of America","OBS1041364290","CLO","Siskiyou","Honker Lake",41.91894,-122.578545
"54","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.22963,32.792336,"California",2021,1,"United States of America","OBS1041370182","CLO","San Diego","Kendall-Frost Marsh Reserve",32.792336,-117.22963
"55","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-124.09538,40.859333,"California",2021,1,"United States of America","OBS1041397394","CLO","Humboldt","Arcata Marsh and Wildlife Sanctuary, Arcata US-CA (40.8593,-124.0954)",40.859333,-124.09538
"56","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-115.709625,33.07576,"California",2021,1,"United States of America","OBS1041403756","CLO","Imperial","Sonny Bono Salton Sea NWR--Vendel Rd.",33.07576,-115.709625
"57","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.20568,33.783142,"California",2021,1,"United States of America","OBS1041405818","CLO","Los Angeles","Los Angeles River--Anaheim St.",33.783142,-118.20568
"58","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.46167,36.98226,"California",2021,1,"United States of America","OBS1041412347","CLO","San Benito","San Felipe Lake / Soap Lake",36.98226,-121.46167
"59","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-124.34608,40.575874,"California",2021,1,"United States of America","OBS1041454049","CLO","Humboldt","Russ Ranch Wetlands",40.575874,-124.34608
"60","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.43851,38.266415,"California",2021,1,"United States of America","OBS1041462363","CLO","Sacramento","Cosumnes River Preserve, Galt US-CA 38.26642, -121.43850",38.266415,-121.43851
"61","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.15445,33.34403,"California",2021,1,"United States of America","OBS1041466837","CLO","San Diego","Horse Ranch Creek Open Space",33.34403,-117.15445
"62","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-124.15298,40.575306,"California",2021,1,"United States of America","OBS1041468092","CLO","Humboldt","Eel River--Fortuna riverfront",40.575306,-124.15298
"63","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.17075,33.79393,"California",2021,1,"United States of America","OBS1041472091","CLO","Riverside","Ski Land Lake",33.79393,-117.17075
"64","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.25232,32.932575,"California",2021,1,"United States of America","OBS1041485489","CLO","San Diego","Los Penasquitos Marsh Preserve--Carmel Valley Rd. pullouts",32.932575,-117.25232
"65","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.20366,40.31265,"California",2021,1,"United States of America","OBS1041486829","CLO","Plumas","Lake Almanor--Hwy 36 Causeway",40.31265,-121.20366
"66","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.10445,37.459167,"California",2021,1,"United States of America","OBS1041495136","CLO","Santa Clara","Palo Alto Baylands",37.459167,-122.10445
"67","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.374695,40.56467,"California",2021,1,"United States of America","OBS1041504107","CLO","Shasta","Henderson Open Space",40.56467,-122.374695
"68","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.75657,38.03322,"California",2021,1,"United States of America","OBS1041509567","CLO","Calaveras","Salt Springs Valley Reservoir",38.03322,-120.75657
"69","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.0875,37.553764,"California",2021,1,"United States of America","OBS1041510072","CLO","Alameda","Coyote Hills Regional Park",37.553764,-122.0875
"70","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.204834,33.795223,"California",2021,1,"United States of America","OBS1041515687","CLO","Los Angeles","Los Angeles River--south of Willow St. to PCH",33.795223,-118.204834
"71","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.5135,38.05897,"California",2021,1,"United States of America","OBS1041518417","CLO","Marin","Hamilton Field Bay Trail",38.05897,-122.5135
"72","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.650955,38.11648,"California",2021,1,"United States of America","OBS1041522934","CLO","Sacramento","Twitchell Island Ferry Rd—wetlands area",38.11648,-121.650955
"73","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.26558,33.00566,"California",2021,1,"United States of America","OBS1041523377","CLO","San Diego","San Elijo Lagoon--east of Rios Ave.",33.00566,-117.26558
"74","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.95225,38.11906,"California",2021,1,"United States of America","OBS1041526222","CLO","Marin","Pt. Reyes--Abbotts Lagoon",38.11906,-122.95225
"75","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.28334,39.781784,"California",2021,1,"United States of America","OBS1041531481","CLO","Plumas","Sierra Valley--Roberti Ranch (restricted access)",39.781784,-120.28334
"76","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.793625,37.196,"California",2021,1,"United States of America","OBS1041533003","CLO","Merced","San Luis NWR--Waterfowl Tour Route - west leg",37.196,-120.793625
"77","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.1565,39.42844,"California",2021,1,"United States of America","OBS1041534536","CLO","Glenn","Sacramento NWR--Auto Route & Visitor Center",39.42844,-122.1565
"78","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-119.4207,35.895447,"California",2021,1,"United States of America","OBS1041537377","CLO","Tulare","Alpaugh Irrigation Pond",35.895447,-119.4207
"79","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.835754,33.66789,"California",2021,1,"United States of America","OBS1041563989","CLO","Orange","San Joaquin WS - San Diego Creek",33.66789,-117.835754
"80","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.43184,38.275787,"California",2021,1,"United States of America","OBS1041576920","CLO","Sacramento","Desmond Rd.",38.275787,-121.43184
"81","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.43949,38.265823,"California",2021,1,"United States of America","OBS1041577106","CLO","Sacramento","Cosumnes River Preserve",38.265823,-121.43949
"82","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.96148,37.433464,"California",2021,1,"United States of America","OBS1041580773","CLO","Santa Clara","Don Edwards NWR--entrance road (Grand Blvd.) between tracks and gate",37.433464,-121.96148
"83","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.43056,33.970127,"California",2021,1,"United States of America","OBS1041595669","CLO","Los Angeles","Ballona Freshwater Marsh",33.970127,-118.43056
"84","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.238945,32.75642,"California",2021,1,"United States of America","OBS1041601154","CLO","San Diego","San Diego River--Robb Field & mudflats",32.75642,-117.238945
"85","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-116.35702,33.242706,"California",2021,1,"United States of America","OBS1041604530","CLO","San Diego","Borrego Springs--Resort and Country Club",33.242706,-116.35702
"86","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.7324,39.046444,"California",2021,1,"United States of America","OBS1041606059","CLO","Sutter","Sutter NWR--east side ponds",39.046444,-121.7324
"87","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.84029,35.332245,"California",2021,1,"United States of America","OBS1041610649","CLO","San Luis Obispo","Santa Lucia",35.332245,-120.84029
"88","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.63824,38.56209,"California",2021,1,"United States of America","OBS1041614034","CLO","Yolo","Yolo Bypass Wildlife Area, Davis US-CA (38.5621,-121.6382)",38.56209,-121.63824
"89","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.70091,38.618774,"California",2021,1,"United States of America","OBS1041616668","CLO","Yolo","CR27 fields--CR103 to CR104",38.618774,-121.70091
"90","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.80163,33.85572,"California",2021,1,"United States of America","OBS1041620732","CLO","Orange","Upper Santa Ana River--Lakeview Ave. to Imperial Hwy",33.85572,-117.80163
"91","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.076164,33.98721,"California",2021,1,"United States of America","OBS1041621465","CLO","Los Angeles","San Gabriel River--north of Mines Ave.",33.98721,-118.076164
"92","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.05078,39.185154,"California",2021,1,"United States of America","OBS1041622813","CLO","Colusa","Colusa NWR--Auto Tour Route",39.185154,-122.05078
"93","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.84385,35.329327,"California",2021,1,"United States of America","OBS1041623646","CLO","San Luis Obispo","Pasadena Park, Los Osos US-CA 35.32933, -120.84385",35.329327,-120.84385
"94","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.84371,33.660988,"California",2021,1,"United States of America","OBS1041623719","CLO","Orange","San Joaquin Wildlife Sanctuary--Fledgling Loop Trail",33.660988,-117.84371
"95","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-119.65729,34.421535,"California",2021,1,"United States of America","OBS1041625067","CLO","Santa Barbara","Andree Clark Bird Refuge",34.421535,-119.65729
"96","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-124.11469,41.00735,"California",2021,1,"United States of America","OBS1041636158","CLO","Humboldt","Little River State Beach",41.00735,-124.11469
"97","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.90962,39.604992,"California",2021,1,"United States of America","OBS1041643063","CLO","Butte","Sacramento River NWR--Llano Seco Unit (viewing platform)",39.604992,-121.90962
"98","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.0035,38.198257,"California",2021,1,"United States of America","OBS1041645925","CLO","San Joaquin","Gerardot Stables ponds",38.198257,-121.0035
"99","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.82551,35.344013,"California",2021,1,"United States of America","OBS1041646775","CLO","San Luis Obispo","Morro Bay State Park, South Bay Blvd, Los Osos US-CA (35.3440,-120.8255) South Bay Blvd.",35.344013,-120.82551
"100","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.0496,39.187016,"California",2021,1,"United States of America","OBS1041647355","CLO","Colusa","Colusa National Wildlife Refuge, Colusa US-CA 39.18702, -122.04960",39.187016,-122.0496
"101","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.47373,34.176723,"California",2021,1,"United States of America","OBS1041666928","CLO","Los Angeles","Sepulveda Basin--East of Woodley Ave",34.176723,-118.47373
"102","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.228,37.06011,"California",2021,1,"United States of America","OBS1041676846","CLO","Inyo","Tinemaha Reservoir",37.06011,-118.228
"103","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-119.375854,35.90652,"California",2021,1,"United States of America","OBS1041677462","CLO","Tulare","Pixley NWR",35.90652,-119.375854
"104","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-124.095245,40.859188,"California",2021,1,"United States of America","OBS1041684961","CLO","Humboldt","Arcata Marsh and Wildlife Sanctuary, Arcata US-CA 40.85919, -124.09524",40.859188,-124.095245
"105","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.60896,38.208492,"California",2021,1,"United States of America","OBS1041689967","CLO","Sacramento","15248–15304 Grand Island Rd, Walnut Grove US-CA (38.2085,-121.6090)",38.208492,-121.60896
"106","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.03,37.062,"California",2021,1,"United States of America","OBS1041695605","CLO","Merced","San Luis Reservoir SRA--Medeiros area",37.062,-121.03
"107","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.04418,39.186443,"California",2021,1,"United States of America","OBS1041703547","CLO","Colusa","Colusa NWR",39.186443,-122.04418
"108","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.22459,37.49895,"California",2021,1,"United States of America","OBS1041707243","CLO","San Mateo","Bair Island Wildlife Refuge & Trail-Redwood City",37.49895,-122.22459
"109","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.065056,32.555016,"California",2021,1,"United States of America","OBS1041710638","CLO","San Diego","Dairy Mart Rd.--main pond",32.555016,-117.065056
"110","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.69042,37.920986,"California",2021,1,"United States of America","OBS1041718811","CLO","Marin","Bolinas Lagoon--Pine Gulch",37.920986,-122.69042
"111","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.69462,37.92515,"California",2021,1,"United States of America","OBS1041725593","CLO","Marin","546–600 Olema Bolinas Rd, Bolinas US-CA 37.92515, -122.69461",37.92515,-122.69462
"112","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.800255,36.907696,"California",2021,1,"United States of America","OBS1041728139","CLO","Santa Cruz","South of Harkins Slough Road and E of Harkins Slough(restricted)",36.907696,-121.800255
"113","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.45128,38.067924,"California",2021,1,"United States of America","OBS1041732594","CLO","San Joaquin","King Island NW",38.067924,-121.45128
"114","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-119.59336,35.7592,"California",2021,1,"United States of America","OBS1041743631","CLO","Kern","Kern NWR",35.7592,-119.59336
"115","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.0399,32.785122,"California",2021,1,"United States of America","OBS1041745688","CLO","San Diego","Lake Murray--Kiowa Dr. entrance",32.785122,-117.0399
"116","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-120.626495,37.17769,"California",2021,1,"United States of America","OBS1041770788","CLO","Merced","Merced NWR",37.17769,-120.626495
"117","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.440094,38.500458,"California",2021,1,"United States of America","OBS1041773734","CLO","Napa","St. Helena WTP",38.500458,-122.440094
"118","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-119.59725,35.7487,"California",2021,1,"United States of America","OBS1041776486","CLO","Kern","Kern NWR--South Auto Tour Route",35.7487,-119.59725
